Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | entity: Golang - none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。 
Shaver 治之于未乱 | w_freq: 3 - 1 | wiki_freq: 1723 - 1 | sentence_idx: 59303 | align_1: 10-27 | align_2: 11-32 | entity: Shaver - none |    How on earth can you know what they are presupposing Shaver ? ||| “ 那 你 又 如何 理解 ‘ 天下 难事 必作 于 易 ， 天下 大事 必作 于 细 ’ 和 ‘ 为 之 于 未 有 ， 治之于未乱 ’ 这 两 句 ？ ” 

Chocolat 巧克力 | w_freq: 2 - 353 | wiki_freq: 516 - 2320 | sentence_idx: 61747 | align_1: 8-14 | align_2: 9-22 | entity: Chocolat - none |    Many customers compare the experience to the movie Chocolat . ||| 很多 顾客 都 将 这里     的 体验 与 电影 《 巧克力 》 相 比较     。 

Terminator 终结者 | w_freq: 36 - 52 | wiki_freq: 2989 - 1509 | sentence_idx: 68254 | align_1: 16-14 | align_2: 17-21 | entity: Terminator - none |    But the following year , as I ’ve written before , the Iron Man metaphor replaced Terminator . ||| 第二 年 ， 如同 我 曾经 写 到过 的 ， Iron Man 取代 了 终结者 ， 成 了 新 的 比喻 。 

Aalto 阿尔托 | w_freq: 4 - 2 | wiki_freq: 2134 - 159 | sentence_idx: 74439 | align_1: 1-1 | align_2: 2-6 | entity: Aalto - 阿尔托 |    At Aalto we make two wines : ||| 在 阿尔托 （ AALTO ） ， 我们 酿造 两 种 葡萄酒 ： 

PAX NBC/PAX | w_freq: 9 - 1 | wiki_freq: 1348 - 0 | sentence_idx: 77237 | align_1: 2-0 | align_2: 3-8 | entity: / PAX - none |    NBC / PAX America 's Most Talented Kids , 2005 ||| NBC/PAX 美国 最 有 才华 的 儿童 （ America's Most Talented Kids ） , 2005年 

Capitalism Capitalism | w_freq: 81 - 12 | wiki_freq: 2244 - 20 | sentence_idx: 79931 | align_1: 34-37 | align_2: 35-44 | entity: The Age of Surveillance Capitalism - none |    But this would hurt the ability of governments and companies to know about us and predict and manipulate our behaviour , as Shoshana Zuboff demonstrated powerfully in her book , The Age of Surveillance Capitalism . ||| 但 这 将 损害 政府 和 企业 了解 我们 、 预测 和 操纵 我们 行为 的 能力 ， 正如 肖莎娜•祖博夫 ( Shoshana Zuboff ) 在 其 著作 《 监控 资本主义 时代 》 ( the Age of Surveillance Capitalism ) 中 所 证明 的 那样 。 

IRC IRC | w_freq: 34 - 33 | wiki_freq: 2926 - 286 | sentence_idx: 81955 | align_1: 7-7 | align_2: 8-11 | entity: IRC - none |    You may want to learn more about IRC and use an installable IRC client such as ChatZilla . ||| 你 可能 想要 了解 更 多 关于 IRC 的 内容 ， 并且 使用 一个 可 安装 的 IRC 客户端 如 ChatZilla 。 

AAPL AAPL | w_freq: 6 - 4 | wiki_freq: 71 - 3 | sentence_idx: 86409 | align_1: 3-3 | align_2: 4-7 | entity: AAPL - AAPL - Get Report |    Apple Inc. ( AAPL ) had also expressed interest in the company , but he added that the discussions never got particularly serious . ||| Apple Inc. （ AAPL - Get Report ） 也 对 该 公司 表示 了 兴趣 ， 但 他 补充 说 ， 讨论 从未 如此 严重 。 

Falklands 福克兰 | w_freq: 8 - 32 | wiki_freq: 4850 - 962 | sentence_idx: 87364 | align_1: 8-6 | align_2: 9-11 | entity: Falklands - 福克兰 群岛 |    When I heard he was going to the Falklands I felt for his wife and the worry she must have . ||| 当 我 听到 他 要 去 福克兰 群岛 的 时候 ， 我 觉得 他 的 妻子 和 她 必须 担心 的 事情 

Relative Relative | w_freq: 16 - 1 | wiki_freq: 3359 - 37 | sentence_idx: 89614 | align_1: 3-4 | align_2: 4-9 | entity: Love is Relative - Love is Relative |    2014 Love is Relative Emily Television film ||| 2014 《 Love is Relative 》 艾蜜莉 （ Emily ） 电视 电影 

Agenda 议程 | w_freq: 167 - 956 | wiki_freq: 4906 - 1755 | sentence_idx: 94820 | align_1: 25-19 | align_2: 26-24 | entity: 2030 Agenda - none |    We encourage all Member States to make best use of the lessons learned from the review process to enhance their national implementation of the 2030 Agenda and to consider presenting voluntary national reviews at the high-level political forum , and in this regard commend all those countries that have already volunteered for 2018 ; ||| 我们 鼓励 所有 会员国 最佳 利用 来自 评估 进程 的 经验 教训 ， 以 加强 本国 执行 《 2030 议程 》 的 工作 ， 并 考虑 在 高 级别 政治 论坛 上 介绍 自愿 国别 评估 ， 同时 在 这 方面 赞扬 所有 已 自愿 在 2018年 采取 这 一 行动 的 国家 ； 

MSF MSF | w_freq: 12 - 8 | wiki_freq: 1258 - 20 | sentence_idx: 99188 | align_1: 8-9 | align_2: 9-15 | entity: MSF - none |    Separately , the charity Doctors Without Borders ( MSF ) said its ship Dignity 1 had saved 373 people , including 62 women and 10 children . ||| 另外 ， 慈善 机构 无 国界 医生 组织 （ MSF ， 无 国界 医生 组织 ） 表示 ， 其 船舶 Dignity 1 救 了 373 人 ， 其中 包括 62 名 妇女 和 10 名 儿童 。 

Roswell 罗斯威尔 | w_freq: 7 - 3 | wiki_freq: 4249 - 136 | sentence_idx: 99777 | align_1: 1-1 | align_2: 2-5 | entity: Roswell Stripper - 罗斯威尔 |    2001 Roswell Stripper Episode : " To Have and to Hold " ||| 2001 罗斯威尔 ( 电视剧 ) Stripper 集称 : " To Have and to Hold " 

Ake Ake | w_freq: 2 - 1 | wiki_freq: 546 - 9 | sentence_idx: 103725 | align_1: 1-1 | align_2: 2-5 | entity: Ake - none |    To Ake : I am waiting for you in front of the cave . ||| To Ake （ 教练 ） ： 我 在 山洞 前 等 你 。 

Houston- Houston | w_freq: 1 - 14 | wiki_freq: 3 - 182 | sentence_idx: 103993 | align_1: 1-6 | align_2: 2-11 | entity: Whitney Houston- - none |    Whitney Houston- Why Does It Hurt so Bad ||| 牧羊人 --西洋 女 歌手 / Whitney Houston 惠妮 休斯顿 单曲 -- Why Does It Hurt So Bad 

Musk Musk | w_freq: 241 - 87 | wiki_freq: 3245 - 39 | sentence_idx: 105386 | align_1: 1-7 | align_2: 2-21 | entity: Elon Musk - Elon Musk |    Elon Musk - All Our Patents Are Belong to You ? ||| 三 天 前 , 伊隆·马斯克 ( Elon Musk ) 在 他 自己 公司 的 网志 上 发表 了 专利 开放 宣言 —— All Our Patent Are Belong To You 。 

680 680 | w_freq: 17 - 14 | wiki_freq: 3788 - 614 | sentence_idx: 105627 | align_1: 12-12 | align_2: 13-18 | entity: Plane 680 - none |    When they did n't land , radio traffic controllers started calling Plane 680 but did n't receive a response . ||| 由于 他们 并未 降落   ， 无线电 通信 管制员 开始 呼叫 680 号 飞机   ， 但 没有 得到 任何 回音   。 

R$E R$E | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 105979 | align_1: 9-9 | align_2: 10-22 | entity: R$E - none |    The Pope has a SHOCKING plan for 2018 ( R$E ) ||| The Pope has a SHOCKING plan for 2016 ( R$E ) 教皇 2016年 有 一个 令 人 震惊 的 计划 （ R$E ） 

ganas gana | w_freq: 1 - 1 | wiki_freq: 103 - 0 | sentence_idx: 112588 | align_1: 3-4 | align_2: 4-11 | entity: none - gana |    Shiva sent two ganas to the city to see how to get rid of this king . ||| Shiva派 了 两 个 gana （ 他 的 怪物 朋友 ） 到 城里 ， 看看 如何 摆脱 这个 国王 。 

Burgers Burgers | w_freq: 4 - 3 | wiki_freq: 1763 - 13 | sentence_idx: 117787 | align_1: 3-5 | align_2: 4-9 | entity: Burgers - Charlie ’ s Burgers （ CB |    Our Charlie ’s Burgers team is also an integral factor here ; we have had nearly the same service and wine team since day one . ||| 我们 的 Charlie ’ s Burgers （ CB ） 团队 也 是 这里 不可或缺 的 一个 因素 ， 从 第一 天 起 ， 我们 就 有 著 几乎 相同 的 服务 和 葡萄酒 团队 。 

Colorcon 卡乐康 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 126336 | align_1: 5-3 | align_2: 6-11 | entity: Colorcon - 卡乐康 |    As you learn more about Colorcon you will begin to see the impact these have on our culture . ||| 当 您 对 卡乐康 有 了 更 多 了解 后 ， 您 将 会 看到 这些 原则 对 我们 的 企业 文化 所 产生 的 影响 。 

Chrome Chrome | w_freq: 154 - 154 | wiki_freq: 4918 - 787 | sentence_idx: 126798 | align_1: 1-1 | align_2: 2-5 | entity: Chrome - none |    In Chrome two Javascript attributes enable to obtain languages used by the user : navigator.language and navigator.languages . ||| 在 Chrome 中 ， 有 两 个 Javascript 属性 可以 获取 用户 使用 的 语言 ： navigator.language 和 navigator.languages 。 

Finne Finne | w_freq: 2 - 2 | wiki_freq: 166 - 0 | sentence_idx: 128531 | align_1: 19-21 | align_2: 20-26 | entity: Eva Finne - none |    In Sweden I am not charged , I have already been previously cleared by the Senior Stockholm Prosecutor Eva Finne . ||| 在 瑞典 ， 我 没有 被 正式 起诉 ， 我 之前 已经 被 ［ 斯德哥尔摩 高级 检察官 夏娃‧ 芬尼 （ Eva Finne ） ］ 消除 嫌疑 。 

YORK YORK | w_freq: 50 - 7 | wiki_freq: 199 - 16 | sentence_idx: 128657 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - N EW YORK |    NEW YORK — It happens a few times a year : A customer refuses to work with Dave Greenbaum because he 's gay . ||| N EW YORK （ 美联社 ） - 它 每年 发生 几 次 ： 客户 拒绝 与 Dave Greenbaum 合作 ， 因为 他 是 同性恋 。 

Takashi 怡安 | w_freq: 4 - 2 | wiki_freq: 4330 - 83 | sentence_idx: 131785 | align_1: 4-0 | align_2: 5-10 | entity: Hara Takashi - 怡安 嘉园 |    But who appointed Hara Takashi ? ||| 怡安 嘉园 （ 怡安 家园 ） 的 开发商 是 谁 ？ 

Sadhguru Sadhguru | w_freq: 17 - 11 | wiki_freq: 43 - 0 | sentence_idx: 132316 | align_1: 9-8 | align_2: 10-13 | entity: Sadhguru - none |    Transformation and leadership can not be separated , says Sadhguru , as every action of a leader has the power to directly or indirectly transform the lives of many people . ||| 转化 和 领导力 是 无法 分开 的 ， Sadhguru （ 萨古鲁 ） 说 ， 因为 一个 领导者 的 每个 行动 都 具有 直接 或 间接 转化 他人 生命 的 力量 。 

McKnight Mcknight | w_freq: 11 - 1 | wiki_freq: 3201 - 1 | sentence_idx: 133230 | align_1: 1-3 | align_2: 2-8 | entity: Brian McKnight - Brian Mcknight |    Brian McKnight : Back at one ||| 19 、 Brian Mcknight （ 布赖恩 麦肯耐特 ） ---- Back At One 

Saviour Saviour | w_freq: 33 - 3 | wiki_freq: 4557 - 29 | sentence_idx: 136872 | align_1: 1-1 | align_2: 2-7 | entity: none - Beautiful Saviour |    Beautiful Saviour ( 2008 ) Recorded live at Planetshakers City Church . ||| Beautiful Saviour （ 荣美 的 救主 ） ( 2008 ) 于 Planetshakers City Church 录音 。 

alif 艾列弗 | w_freq: 1 - 2 | wiki_freq: 173 - 0 | sentence_idx: 136905 | align_1: 2-1 | align_2: 3-7 | entity: none - 艾列弗 |    Alif by alif , ||| . 艾列弗 ， 俩 目 ， 米目 。 

Buys Buys | w_freq: 3 - 2 | wiki_freq: 490 - 4 | sentence_idx: 142673 | align_1: 0-0 | align_2: 1-4 | entity: Buys - none |    Buys and her partner successfully operated their store for nearly 20 years , but when they sold it in 2000 she was ready for a change . ||| Buys （ 拜斯 ） 和 合作 伙伴 将 他们 的 店 成功 地 经营 了 近 20 年 ， 但是 ， 当 他们 在 2000 年 把 它 卖掉 时 ， 她 已经 准备 做 一番 改变 了 。 

Dostoevsky Dostoevsky | w_freq: 11 - 1 | wiki_freq: 1854 - 2 | sentence_idx: 151661 | align_1: 5-8 | align_2: 6-13 | entity: Fyodor Dostoevsky - none |    The great Russian novelist Fyodor Dostoevsky may not answer in so many words , but his experience points us in the right direction . ||| ？ 伟大 的 俄罗斯 小说家 陀思妥耶夫斯基 （ Fyodor Dostoevsky ） 对 这个 问题 可能 也 回答 不 了 多少 话 ， 但是 他 的 经历 给 我们 指出 了 正确 的 方向 。 

Starbucks Starbucks | w_freq: 139 - 8 | wiki_freq: 3880 - 75 | sentence_idx: 157040 | align_1: 5-8 | align_2: 6-12 | entity: Starbucks - none |    Number five , Schultz left Starbucks and started his own company . ||| 第五 题 ， Schultz （ 舒尔茨 ） 离开 Starbucks ( 星巴克 ) ， 然后 开创 了 自己 的 公司 

Australia-ASEAN 东盟 | w_freq: 1 - 243 | wiki_freq: 8 - 1234 | sentence_idx: 158009 | align_1: 1-5 | align_2: 2-12 | entity: Australia-ASEAN - 澳大利亚 - 东盟 商会 |    The Australia-ASEAN Chamber of Commerce reported in March that , of Australian businesses operating in Southeast Asia , 62 % of respondents “ had expanded their trade and investment in the region over the past two years . ” ||| 今年 3月 ， 澳大利亚 - 东盟 商会 ( Australian - a sean Chamber of Commerce ) 报告 称 ， 在 东南亚 经营 的 澳大利亚 企业 中 ， 62% 的 受访者 “ 在 过去 两 年中 扩大 了 在 该 地区 的 贸易 和 投资 ” 。 

Gomorrah 醋 | w_freq: 1 - 66 | wiki_freq: 731 - 687 | sentence_idx: 163661 | align_1: 29-199 | align_2: 30-208 | entity: Gomorrah - none |    Abraham , no doubt cognizant of Lot ( his righteous relative ) living in Sodom ( see 2Peter 2:6 - 8) , attempts to barter to have it and Gomorrah spared ( Genesis 18:23 ) . ||| ） （ 叮 ） （ 触 ） （ 发 ） （ 技 ） （ 能 ） （ 妻 ） （ 子 ） （ 的 ） （ 吻 ） （ ， ） （ 妻 ） （ 子 ） （ 的 ） （ 吻 ） （ 1 ） （ 生 ） （ 命 ） （ 值 ） （ 翻 ） （ 倍 ） （ ， ） （ 获 ） （ 得 ） （ 额 ） （ 外 ） （ 生 ） （ 命 ） （ 值 ） （ 2 ） （ 分 ） （ 钟 ） （ 于 ） （ 萌 ） （ 声 ） （ 色 ） （ 严 ） （ 厉 ） （ 的 ） （ 斥 ） （ 责 ） （ 他 ） （ 们 ） （ ： ） （ 你 ） （ 们 ） （ 不 ） （ 要 ） （ 命 ） （ ， ） （ 你 ） （ 们 ） （ 父 ） （ 母 ） （ 也 ） （ 不 ） （ 要 ） （ 命 ） （ 了 ） （ 吗 ） （ 第 ） （ 1 ） （ 8 ） （ 8 ） （ 章 ） （ ） （ 吃 ） （ 醋 ） （ 求 ） （ 推 ） （ 荐 ） （ 票 ） 

Sinim 秦国 | w_freq: 3 - 6 | wiki_freq: 16 - 3579 | sentence_idx: 168220 | align_1: 15-18 | align_2: 16-32 | entity: Sinim - none |    these from the north and from the west ; and these from the land of Sinim . ” ||| 12 看 哪 ！ 这些 从 远方 来 ﹔ 这些 从 北方 、 从 西方 来﹔ 这些 从 秦国 来 （ 注 ： " 秦 " 原音 作 " 希尼 " ） 。 

Eastenders 东区人 | w_freq: 1 - 1 | wiki_freq: 121 - 5 | sentence_idx: 168412 | align_1: 32-26 | align_2: 33-30 | entity: Eastenders - 东区人 |    For the other three actions participants were asked to carry out a task in response to a cue ( for example , “ When you come to a quiz question about ‘ Eastenders ’ I would like you to give me this book ” ) . ||| 对于 其他 三 个 行动 的 参与者 被 要求 对 进行 一个 任务 做出 响应 （ 例如 ， “ 当 你 来到 一个 提问 关于 “ 东区人 ” 时 ， “ 我 想 你 给 我 这 本书 ” ） 。 

Madiba 马迪巴 | w_freq: 6 - 3 | wiki_freq: 108 - 4 | sentence_idx: 175546 | align_1: 6-5 | align_2: 7-9 | entity: Madiba - 马迪巴 |    “ Over the past 24 years Madiba taught us how to come together and to believe in ourselves and each other . ||| “ 过去 24年 来 ， 马迪巴 （ 曼德拉 ） 教会 我们 如何 团结 ， 如何 相信 自己 和 彼此 。 

PwC PwC | w_freq: 6 - 3 | wiki_freq: 771 - 14 | sentence_idx: 181794 | align_1: 4-3 | align_2: 5-7 | entity: PwC - none |    When people arrive at PwC they may already be experiencing a range of emotions . ||| 当 人们 来到 PwC 的 时候 ， 他们 可能 已经 经历 了 一 系列 的 各种 情绪 。 

Capra Capra | w_freq: 5 - 4 | wiki_freq: 2543 - 47 | sentence_idx: 182579 | align_1: 3-3 | align_2: 4-8 | entity: Frank Capra - none |    Director : Frank Capra ( You Ca n't Take It With You ) ||| 法兰克·卡普拉 （ Frank Capra ） 《 浮生若梦 》 （ You Can't Take It with You ） 

Goyim-cattle cattle | w_freq: 2 - 2 | wiki_freq: 0 - 12 | sentence_idx: 182880 | align_1: 16-16 | align_2: 17-20 | entity: Goyim-cattle - none |    This is because , contrary to what Rabbi Finkelstein says in the interview , the „ Goyim-cattle “ is not made up of stupid people and cowards . ||| 这是 因为 ， 与 Rabbi Finkelstein 在 采访 中 说 的 相反 ， “ goyim – cattle （ 牧群 ） ” 不是 由 愚蠢 的 人和 懦夫 组成 的 。 

Goyim-cattle goyim | w_freq: 2 - 3 | wiki_freq: 0 - 0 | sentence_idx: 182880 | align_1: 16-14 | align_2: 17-20 | entity: Goyim-cattle - none |    This is because , contrary to what Rabbi Finkelstein says in the interview , the „ Goyim-cattle “ is not made up of stupid people and cowards . ||| 这是 因为 ， 与 Rabbi Finkelstein 在 采访 中 说 的 相反 ， “ goyim – cattle （ 牧群 ） ” 不是 由 愚蠢 的 人和 懦夫 组成 的 。 

Whisper Whisper | w_freq: 5 - 5 | wiki_freq: 1888 - 42 | sentence_idx: 182949 | align_1: 7-5 | align_2: 8-9 | entity: Whisper - none |    You do n’t hear a lot about Whisper but is an interesting technology in the Ethereum ecosystem . ||| 你 没有 听到 很多 关于 Whisper 的 信息 ， 但 在 以 太坊 生态 系统 中 却 是 一 项 有趣 的 技术 。 

CIO CIO | w_freq: 19 - 19 | wiki_freq: 2927 - 54 | sentence_idx: 185264 | align_1: 6-2 | align_2: 7-7 | entity: CIO - none |    “ It ’s important for the CIO to make sure everyone ’s getting technical in a reasonable way , rather than just reading the airline magazines . ||| “ 对于 CIO 来说 ， 重要 的 是 确保 每个 人 都 能够 以 一 种 合理 的 方式 获得 技术 ， 而 不仅仅 是 阅读 航空 杂志 。 

TOW 比尔·坦普尔 | w_freq: 1 - 1 | wiki_freq: 700 - 0 | sentence_idx: 186035 | align_1: 9-4 | align_2: 10-13 | entity: none - 比尔·坦普尔 |    ‘ For just as Bill Temple ’s yarn in TOW will long be remembered as the cat story … ’ ||| “ 因为 就 像 比尔·坦普尔 的 故事 一样 ， 它 的 故事 也 将 被 长久 地 铭记 为 猫 的 故事 …… ” 

Desiderata 欲望 | w_freq: 1 - 485 | wiki_freq: 132 - 2516 | sentence_idx: 186374 | align_1: 14-14 | align_2: 15-18 | entity: Desiderata - none |    The original blog on investigations by the New York Times appeared on John ’s Desiderata site . ||| 有关 《 纽约 时报 》 调查 的 原始 博客 出现 在 约翰 的 《 欲望 都市 》 上 网站 。 

Belmonts Belmonts | w_freq: 3 - 4 | wiki_freq: 257 - 0 | sentence_idx: 188247 | align_1: 3-3 | align_2: 4-12 | entity: Belmonts - none |    Dion and The Belmonts – “ I Wonder Why ” ||| Dion and the Belmonts （ 英语 ： Dion and the Belmonts ） （ " I Wonder Why （ 英语 ： I Wonder Why ） " ） 

